,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,VWAP,Day_Perc_Change,Trend
47,TATAPOWER,EQ,2017-07-20,82.95,82.95,83.5,82.3,83.0,82.9,83.05,1375720,114251304.7,5453,694507,50.48,2017,7,81.43869822297857,0.545785324439052,Slight positive
48,TATAPOWER,EQ,2017-07-21,82.9,83.2,83.6,82.5,83.3,83.35,83.13,2135714,177552492.75,11381,1034685,48.45,2017,7,81.46045812813408,0.4822182037371725,Slight or No change
49,TATAPOWER,EQ,2017-07-24,83.35,83.35,83.5,82.9,83.0,83.25,83.22,2111317,175713522.95,7274,1060860,50.25,2017,7,81.4803749183813,0.42219541616403955,Slight or No change
50,TATAPOWER,EQ,2017-07-25,83.25,83.25,83.4,82.65,82.95,83.0,82.98,7554662,626866842.2,26896,6650244,88.03,2017,7,81.5385739712692,-0.4199160167966287,Slight or No change
51,TATAPOWER,EQ,2017-07-26,83.0,83.0,83.45,81.9,82.5,82.55,82.92,9530863,790319179.5,14157,7614411,79.89,2017,7,81.58519032518193,-0.8408408408408397,Slight negative
52,TATAPOWER,EQ,2017-07-27,82.55,83.0,83.15,81.85,82.1,82.0,82.2,2646710,217549470.35,13825,1734357,65.53,2017,7,81.59043240817373,-1.2048192771084376,Negative
53,TATAPOWER,EQ,2017-07-28,82.0,82.1,82.9,81.1,82.55,82.15,81.88,1689815,138370490.55,7757,747822,44.25,2017,7,81.59491109161785,-0.48455481526347155,Slight or No change
54,TATAPOWER,EQ,2017-07-31,82.15,81.9,82.7,81.1,82.0,82.0,81.86,2681618,219530572.85,12710,1474783,55.0,2017,7,81.59999180220284,0.0,Slight or No change
55,TATAPOWER,EQ,2017-08-01,82.0,81.2,83.25,81.2,83.25,82.8,82.33,2365558,194756670.5,8956,1215801,51.4,2017,8,81.61312336376707,0.7912355447352359,Slight positive
56,TATAPOWER,EQ,2017-08-02,82.8,82.8,82.95,82.1,82.3,82.6,82.56,867025,71578832.05,5089,304685,35.14,2017,8,81.61706570912591,0.7317073170731714,Slight positive
57,TATAPOWER,EQ,2017-08-03,82.6,82.5,83.4,82.2,82.45,82.65,82.83,2966583,245722298.6,9273,1517249,51.14,2017,8,81.63099386067064,-0.18115942028984477,Slight or No change
58,TATAPOWER,EQ,2017-08-04,82.65,82.55,82.75,79.7,80.2,80.25,80.75,5298112,427822909.45,11693,2763158,52.15,2017,8,81.59851935100427,-2.8450363196125816,Negative
59,TATAPOWER,EQ,2017-08-07,80.25,80.7,80.9,79.85,80.0,80.0,80.13,3124773,250381011.8,12752,2100299,67.21,2017,8,81.57665260274979,-3.206291591046584,Among top losers
60,TATAPOWER,EQ,2017-08-08,80.0,80.2,80.4,78.05,78.15,78.25,78.93,1840878,145292253.1,9155,795372,43.21,2017,8,81.55005794492898,-2.492211838006231,Negative
61,TATAPOWER,EQ,2017-08-09,78.25,78.3,78.3,77.15,77.95,77.8,77.77,2107243,163889597.15,11253,1255251,59.57,2017,8,81.5160517281164,-2.750000000000008,Negative
62,TATAPOWER,EQ,2017-08-10,77.8,77.0,77.8,75.8,77.0,76.7,76.98,10816439,832607919.7,20875,7433869,68.73,2017,8,81.30185022867009,-1.9808306709265144,Negative
63,TATAPOWER,EQ,2017-08-11,76.7,76.45,77.1,75.85,76.7,76.55,76.42,4403984,336565734.8,12500,3212725,72.95,2017,8,81.21732987845398,-1.6066838046272514,Negative
64,TATAPOWER,EQ,2017-08-14,76.55,77.0,81.15,76.6,79.65,79.55,79.36,8120241,644444861.75,31099,1663389,20.48,2017,8,81.16438442297006,3.715775749674055,Among top gainers
65,TATAPOWER,EQ,2017-08-16,79.55,81.25,83.45,81.1,82.0,82.05,82.55,11428360,943378547.25,40270,2500956,21.88,2017,8,81.202270483978,7.184846505551934,Bull run
66,TATAPOWER,EQ,2017-08-17,82.05,82.6,82.6,81.35,81.8,81.65,81.81,3774599,308782129.2,30140,1689492,44.76,2017,8,81.208508457174,2.6398491514770583,Positive
67,TATAPOWER,EQ,2017-08-18,81.65,80.4,81.4,80.05,80.4,80.3,80.47,2900287,233378090.45,12871,942288,32.49,2017,8,81.19888563688816,-2.132845825716023,Negative
68,TATAPOWER,EQ,2017-08-21,80.3,80.65,80.85,80.0,80.3,80.2,80.32,2749000,220801815.4,13694,1219079,44.35,2017,8,81.18895711440597,-1.7758726270667546,Negative
69,TATAPOWER,EQ,2017-08-22,80.2,81.0,81.5,79.65,80.1,80.05,80.34,2316424,186096302.45,9396,972308,41.97,2017,8,81.17949698132695,-0.3113325031133263,Slight or No change
70,TATAPOWER,EQ,2017-08-23,80.05,80.35,80.35,78.6,78.7,78.75,79.09,2065914,163389944.7,9450,558547,27.04,2017,8,81.16163230509524,-1.807980049875313,Negative
71,TATAPOWER,EQ,2017-08-24,78.75,79.7,80.8,78.8,79.05,79.15,79.66,7107291,566201246.95,28623,1616683,22.75,2017,8,81.11199942016972,-1.1242973141786239,Negative
72,TATAPOWER,EQ,2017-08-28,79.15,79.3,79.7,78.45,79.0,78.85,78.96,2117665,167214622.3,11915,1030307,48.65,2017,8,81.09549175904776,0.12698412698410877,Slight or No change
73,TATAPOWER,EQ,2017-08-29,78.85,78.35,78.4,76.75,77.0,76.95,77.49,4659510,361084772.3,22337,2090292,44.86,2017,8,81.02997779999517,-2.7795325331648857,Negative
74,TATAPOWER,EQ,2017-08-30,76.95,77.5,78.0,77.05,77.8,77.65,77.6,2203355,170981387.1,8640,782782,35.53,2017,8,81.00490618005526,-1.521876981610637,Negative
75,TATAPOWER,EQ,2017-08-31,77.65,77.7,79.75,77.55,79.25,79.25,78.61,5439368,427610860.6,16601,2445094,44.95,2017,8,80.97334846031464,2.9889538661468373,Positive
76,TATAPOWER,EQ,2017-09-01,79.25,79.25,80.75,78.85,79.9,80.1,80.05,7004328,560721294.95,20469,2102415,30.02,2017,9,80.95358261884331,3.1551835157759056,Among top gainers
77,TATAPOWER,EQ,2017-09-04,80.1,79.85,80.15,78.0,78.5,78.45,78.82,1847590,145635180.25,10821,390030,21.11,2017,9,80.93872518451077,-1.0094637223974745,Negative
78,TATAPOWER,EQ,2017-09-05,78.45,79.0,79.0,78.0,78.3,78.35,78.47,1500822,117769142.2,6940,432675,28.83,2017,9,80.92630571991901,-2.1847690387016283,Negative
79,TATAPOWER,EQ,2017-09-06,78.35,78.3,78.65,77.85,78.05,78.0,78.17,4084036,319247292.6,11220,2898805,70.98,2017,9,80.88859507448299,-0.5736137667304075,Slight negative
80,TATAPOWER,EQ,2017-09-07,78.0,78.15,78.4,77.15,77.4,77.35,77.54,2557393,198292903.75,16500,1461169,57.14,2017,9,80.8602685997679,-1.276324186343336,Negative
81,TATAPOWER,EQ,2017-09-08,77.35,77.55,78.3,76.75,76.95,77.0,77.35,1894241,146528161.75,11215,635218,33.53,2017,9,80.83751503165576,-1.2820512820512775,Negative
82,TATAPOWER,EQ,2017-09-11,77.0,78.0,81.0,77.9,80.9,80.6,79.58,7804066,621019567.75,32619,2079790,26.65,2017,9,80.83188399364634,4.201680672268915,Among top gainers
83,TATAPOWER,EQ,2017-09-12,80.6,81.2,81.8,80.7,80.8,81.0,81.26,5963630,484632706.0,18910,2100332,35.22,2017,9,80.83487555887436,5.1948051948051965,Among top gainers
84,TATAPOWER,EQ,2017-09-13,81.0,85.0,86.7,83.5,85.05,84.8,85.33,31484628,2686671501.4,93698,9950599,31.6,2017,9,81.17539217662458,5.210918114143914,Among top gainers
85,TATAPOWER,EQ,2017-09-14,84.8,85.05,87.3,84.75,85.05,85.25,85.8,15122422,1297525314.8,67103,6247594,41.31,2017,9,81.33680419042538,5.246913580246915,Among top gainers
86,TATAPOWER,EQ,2017-09-15,85.25,84.95,84.95,83.8,84.25,84.3,84.27,6486746,546621833.0,29952,3116859,48.05,2017,9,81.38631479274753,-0.5896226415094352,Slight negative
87,TATAPOWER,EQ,2017-09-18,84.3,85.0,85.25,83.35,83.6,83.7,84.4,3959456,334187446.75,19389,1816734,45.88,2017,9,81.40967323813777,-1.8181818181818188,Negative
88,TATAPOWER,EQ,2017-09-19,83.7,83.8,85.65,82.5,84.45,84.6,84.28,6973722,587723844.3,23332,2702922,38.76,2017,9,81.4654109816246,0.3558718861209842,Slight or No change
89,TATAPOWER,EQ,2017-09-20,84.6,86.0,86.2,83.75,83.9,84.0,84.76,6704318,568279112.9,32599,2579071,38.47,2017,9,81.50727856925623,0.35842293906809264,Slight or No change
90,TATAPOWER,EQ,2017-09-21,84.0,83.9,84.4,82.85,82.95,83.1,83.43,3563888,297344188.45,12932,1402870,39.36,2017,9,81.52114238560522,-1.773049645390068,Negative
91,TATAPOWER,EQ,2017-09-22,83.1,82.9,82.9,80.1,80.4,80.4,81.37,3947805,321224967.15,18961,1682610,42.62,2017,9,81.51043538295451,-4.285714285714281,Among top losers
92,TATAPOWER,EQ,2017-09-25,80.4,81.7,82.5,80.35,82.0,81.85,81.69,9668182,789811489.8,42197,2878368,29.77,2017,9,81.51819567919304,-1.5042117930204602,Negative
93,TATAPOWER,EQ,2017-09-26,81.85,82.9,82.9,79.65,79.85,79.95,80.68,7178936,579196245.25,33449,2294675,31.96,2017,9,81.49202810739665,-0.5597014925373123,Slight negative
94,TATAPOWER,EQ,2017-09-27,79.95,80.35,80.5,77.8,78.3,78.15,79.24,5905731,467949317.45,24369,2366072,40.06,2017,9,81.44677318542283,-4.520464263897361,Among top losers
95,TATAPOWER,EQ,2017-09-28,78.15,78.5,78.75,76.85,77.95,77.25,77.34,42574215,3292629764.35,57890,24641636,57.88,2017,9,81.07352896270504,-3.3771106941838713,Among top losers
96,TATAPOWER,EQ,2017-09-29,77.25,77.95,78.65,77.15,78.0,77.8,77.78,7966435,619596227.6,31378,4104051,51.52,2017,9,81.01994395756412,-0.44785668586053706,Slight or No change
97,TATAPOWER,EQ,2017-10-03,77.8,79.2,79.55,77.1,77.35,77.4,78.15,8461033,661268199.75,53177,4389732,51.88,2017,10,80.95808497442334,0.1941747572815622,Slight or No change
98,TATAPOWER,EQ,2017-10-04,77.4,77.45,78.4,77.35,78.4,78.0,77.81,4682880,364396929.95,36432,2376610,50.75,2017,10,80.93037009184744,0.25706940874037354,Slight or No change
99,TATAPOWER,EQ,2017-10-05,78.0,78.4,79.2,78.3,79.05,78.95,78.92,3315187,261639098.85,21987,1875657,56.58,2017,10,80.91732122866922,2.002583979328154,Positive
100,TATAPOWER,EQ,2017-10-06,78.95,79.45,80.9,79.4,80.65,80.65,80.47,7199557,579356297.2,25150,4451297,61.83,2017,10,80.91354996390551,3.3974358974359076,Among top gainers
101,TATAPOWER,EQ,2017-10-09,80.65,80.35,82.05,80.25,81.5,81.45,81.21,6239160,506686657.3,23007,2740654,43.93,2017,10,80.92002923035942,3.166561114629518,Among top gainers
102,TATAPOWER,EQ,2017-10-10,81.45,81.75,82.1,81.25,81.55,81.55,81.67,3898379,318375934.75,22834,1968033,50.48,2017,10,80.92474779306285,1.1159330440173587,Positive
103,TATAPOWER,EQ,2017-10-11,81.55,81.75,82.55,80.45,80.75,81.0,81.33,5318204,432511918.0,18911,2805015,52.74,2017,10,80.92550895026251,-0.5524861878453025,Slight negative
104,TATAPOWER,EQ,2017-10-12,81.0,81.0,82.1,80.45,81.7,81.7,81.34,4280242,348142916.05,24164,1999686,46.72,2017,10,80.93176289057783,0.18393623543839777,Slight or No change
105,TATAPOWER,EQ,2017-10-13,81.7,82.6,82.6,81.4,81.6,81.65,81.75,2469408,201873523.8,17298,966325,39.13,2017,10,80.93509340378101,0.802469135802486,Slight positive
106,TATAPOWER,EQ,2017-10-16,81.65,82.0,82.25,81.35,81.85,81.95,81.78,2578188,210846406.35,16206,1577143,61.17,2017,10,80.93998323236666,0.3059975520195879,Slight or No change
107,TATAPOWER,EQ,2017-10-17,81.95,81.95,82.1,81.5,81.9,81.6,81.67,3977209,324815180.95,24058,2897281,72.85,2017,10,80.94485257604867,-0.06123698714024517,Slight or No change
108,TATAPOWER,EQ,2017-10-18,81.6,81.8,82.1,81.05,81.9,81.9,81.72,3092776,252727313.15,36546,1853245,59.92,2017,10,80.9503010074835,-0.06101281269066394,Slight or No change
109,TATAPOWER,EQ,2017-10-19,81.9,82.55,82.55,81.05,81.4,81.5,81.82,536886,43927603.7,3708,288876,53.81,2017,10,80.9508447957065,-0.1225490196078316,Slight or No change
110,TATAPOWER,EQ,2017-10-23,81.5,82.0,82.05,81.2,81.7,81.75,81.63,1906801,155650873.05,20520,1069441,56.09,2017,10,80.95364272092341,-0.1831501831501936,Slight or No change
111,TATAPOWER,EQ,2017-10-24,81.75,82.0,82.5,81.55,82.05,82.15,82.08,1983329,162782346.1,11451,1003605,50.6,2017,10,80.95798358908687,0.7975460122699563,Slight positive
112,TATAPOWER,EQ,2017-10-25,82.15,82.5,83.8,81.85,82.3,82.25,82.56,6803458,561677104.1,21906,3837791,56.41,2017,10,80.97386710163666,0.6116207951070374,Slight positive
113,TATAPOWER,EQ,2017-10-26,82.25,82.7,83.3,82.0,82.15,82.15,82.47,7214920,595013700.15,23141,4143221,57.43,2017,10,80.9890031110219,0.0,Slight or No change
114,TATAPOWER,EQ,2017-10-27,82.15,82.5,85.7,82.35,85.35,85.1,84.65,7554777,639476405.4,31799,2876236,38.07,2017,10,81.04366429198248,3.4650455927051516,Among top gainers
115,TATAPOWER,EQ,2017-10-30,85.1,86.0,87.45,85.35,86.0,85.95,86.39,5887950,508667590.55,20566,2613430,44.39,2017,10,81.09398587188339,4.625684723067547,Among top gainers
116,TATAPOWER,EQ,2017-10-31,85.95,86.35,86.35,84.6,85.15,84.9,85.23,3517881,299843324.9,18834,1669624,47.46,2017,10,81.11716682174097,-0.235017626321965,Slight or No change
117,TATAPOWER,EQ,2017-11-01,84.9,85.7,86.2,84.4,85.05,85.2,85.21,3999344,340792119.5,11380,1880084,47.01,2017,11,81.14524269756228,-0.8726003490401424,Slight negative
118,TATAPOWER,EQ,2017-11-02,85.2,85.2,85.7,84.05,84.8,84.8,84.91,3855149,327349052.75,17900,1597903,41.45,2017,11,81.16930922036148,-0.11778563015313326,Slight or No change
119,TATAPOWER,EQ,2017-11-03,84.8,85.95,88.5,83.7,84.25,84.5,86.31,23606567,2037439595.6,79846,5765124,24.42,2017,11,81.29840523391108,-0.8215962441314617,Slight negative
120,TATAPOWER,EQ,2017-11-06,84.5,84.45,86.45,83.75,85.25,85.45,85.46,9048909,773364294.8,36533,3454251,38.17,2017,11,81.3591839959186,0.7665094339622813,Slight positive
121,TATAPOWER,EQ,2017-11-07,85.45,86.0,86.4,82.45,83.1,83.05,84.05,8529822,716962929.5,22603,4072701,47.75,2017,11,81.38219972217382,-1.7159763313609466,Negative
122,TATAPOWER,EQ,2017-11-08,83.05,83.45,84.55,83.0,83.2,83.3,83.69,5729398,479466976.15,15450,3078959,53.74,2017,11,81.39957564760772,-2.5160912814511494,Negative
123,TATAPOWER,EQ,2017-11-09,83.3,83.55,84.4,82.7,83.65,83.75,83.63,3733865,312249900.8,10951,1505208,40.31,2017,11,81.41337261534721,0.8428657435280096,Slight positive
124,TATAPOWER,EQ,2017-11-10,83.75,83.45,84.25,82.35,83.2,82.95,83.42,3201517,267063709.9,10232,1448618,45.25,2017,11,81.42106786616301,-0.42016806722688926,Slight or No change
125,TATAPOWER,EQ,2017-11-13,82.95,83.15,83.35,81.75,82.35,82.2,82.32,3917398,322497442.15,13559,1693321,43.23,2017,11,81.42581184364747,-1.850746268656711,Negative
126,TATAPOWER,EQ,2017-11-14,82.2,82.0,83.2,81.65,81.7,81.8,82.29,5252226,432205036.8,23015,2916448,55.53,2017,11,81.42884257097117,-1.3863773357444265,Negative
127,TATAPOWER,EQ,2017-11-15,81.8,81.7,82.7,81.65,82.25,82.05,82.11,4310040,353910121.15,19188,2504439,58.11,2017,11,81.43294385084813,-0.18248175182482562,Slight or No change
128,TATAPOWER,EQ,2017-11-16,82.05,82.4,85.25,82.4,85.0,84.8,84.29,9687109,816553154.5,46995,3935181,40.62,2017,11,81.48217992753263,3.667481662591676,Among top gainers
129,TATAPOWER,EQ,2017-11-17,84.8,85.5,90.4,85.4,89.85,88.95,87.44,17486215,1528978494.2,42517,8781657,50.22,2017,11,81.67422965296397,8.40950639853748,Bull run
130,TATAPOWER,EQ,2017-11-20,88.95,89.0,92.4,89.0,91.6,91.7,91.46,22268784,2036741337.95,61120,7851130,35.26,2017,11,81.9921679105572,8.13679245283019,Bull run
131,TATAPOWER,EQ,2017-11-21,91.7,92.15,94.6,91.7,92.65,92.9,93.41,17274882,1613664650.55,64130,7453932,43.15,2017,11,82.25406309451749,4.440697020798212,Among top gainers
132,TATAPOWER,EQ,2017-11-22,92.9,92.75,93.4,90.45,93.25,93.05,92.15,10917988,1006075470.15,33141,3930927,36.0,2017,11,82.41543807246285,1.4721919302072006,Positive
133,TATAPOWER,EQ,2017-11-23,93.05,93.4,94.95,92.2,93.1,93.15,93.62,11289675,1056898891.45,40935,4019608,35.6,2017,11,82.5788326476837,0.2691065662002057,Slight or No change
134,TATAPOWER,EQ,2017-11-24,93.15,93.1,94.35,92.6,93.75,93.65,93.32,6622336,618020665.9,18546,2976648,44.95,2017,11,82.67680782653903,0.6448146157979728,Slight positive
135,TATAPOWER,EQ,2017-11-27,93.65,93.4,95.8,92.5,95.75,95.25,94.31,11711838,1104585046.1,32220,5154482,44.01,2017,11,82.87055600727444,2.254428341384851,Positive
136,TATAPOWER,EQ,2017-11-28,95.25,95.75,96.9,94.6,95.9,95.85,96.0,13765563,1321529401.25,43887,4405486,32.0,2017,11,83.10145478301598,2.3491724506139677,Positive
137,TATAPOWER,EQ,2017-11-29,95.85,95.7,97.1,94.5,94.6,95.05,95.96,12104211,1161545141.5,33589,4700300,38.83,2017,11,83.28548205378911,-0.20997375328084544,Slight or No change
138,TATAPOWER,EQ,2017-11-30,95.05,94.75,95.75,93.7,94.95,94.7,94.67,17098296,1618680787.0,40924,9137567,53.44,2017,11,83.52853102283646,-1.1997913406364025,Negative
